subject_id,sex,age,exclude
sub-01,male,20,no
sub-02,male,22,no
sub-03,female,19,no
sub-04,male,21,no
sub-05,female,20,no
sub-06,female,21,no
sub-07,male,22,fewer_trials_2sds
sub-08,female,22,no
sub-09,female,18,no
sub-10,female,23,no
sub-11,male,21,no
sub-12,female,19,fewer_trials_2sds
sub-13,female,19,no
sub-14,male,22,no
sub-15,female,22,no
sub-16,male,21,no
sub-17,female,22,no
sub-18,male,24,no
sub-19,female,24,no
sub-20,female,24,no
sub-21,female,20,no
sub-22,female,22,no
sub-23,male,21,no
sub-24,male,22,no
sub-25,female,21,no
sub-26,female,20,no
sub-27,male,22,didnt_follow_task_instrux
sub-28,female,20,no
sub-29,male,22,failed_vision_test
sub-30,female,23,more_trials_2sds_and_itemdp_zero_or_neg
sub-31,female,21,no
sub-32,male,22,no
sub-33,female,22,no
sub-34,male,22,no
sub-35,male,21,failed_vision_test
sub-36,male,24,no
sub-37,male,22,fewer_trials_2sds
sub-38,female,20,no
sub-39,male,22,no
sub-40,female,24,no
sub-41,female,24,no
sub-42,male,24,no
sub-43,female,19,withdrew
sub-44,male,23,no
sub-45,female,18,no
sub-46,female,22,no
sub-47,female,24,no
sub-48,male,19,no
sub-49,female,25,no
sub-50,male,18,no
sub-51,male,24,no
sub-52,female,22,no
sub-53,female,23,no
sub-54,female,18,no
sub-55,female,25,fewer_trials_2sds
sub-56,female,22,more_trials_2sds
sub-57,female,22,failed_vision_test
sub-58,female,23,no
sub-59,male,24,no
sub-60,male,23,srcdp_zero_or_neg
sub-61,female,19,no
sub-62,female,19,no
sub-63,female,23,no
sub-64,female,19,no
sub-65,female,24,no
sub-66,female,23,no
sub-67,female,25,no
sub-68,male,23,no
sub-69,female,24,fewer_trials_2sds
sub-70,female,22,no
sub-71,female,19,no
sub-72,female,23,no
sub-73,male,23,no
sub-74,female,21,no
sub-75,female,22,no
sub-76,female,24,no
sub-77,female,24,no
sub-78,female,20,withdrew
sub-79,female,23,no
sub-80,female,21,didnt_follow_task_instrux
sub-81,female,18,no
sub-82,female,22,no
